Article,Risk Domain,Subdomain,Risk depth,Comment on depth of risk
2024-05-05 - RNZ - Microsoft bans US police using,0,0,Informatory,"Doesn't actually mention risk or safety concerns, but the emphasis on bansof technology use does heavily imply there is a risk involved. "
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,6,6.1,Elucidating,"""Kyle Chayka ... blamed algorithms that direct our attention to what works best for digital platforms."" is the definition here. The rest of it doesn't quite explain how this supports AI companies to gain or maintain power. "
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,5,5.2,Quasi-scientific,Really challenging - is this a explanatory content? Seems to have a lot of explanation but doesn't explicitly explain loss of agency anywhere. I think it has enough explanation across the article that one can understand the loss of agency.
2024-05-07 - RNZ - The New Yorker Kyle Chayka on,8,8.4,Informatory,
2024-05-08 - NZH - Kiwis driving start-up gets $1,7,7,Informatory,
2024-05-09 - BOP - AI adopters forecast to pull a,3,3.1,Informatory,Doesn't actually state that AI does this. The article then moves on
2024-05-09 - BOP - AI adopters forecast to pull a,4,4.3,Informatory,
2024-05-09 - BOP - AI adopters forecast to pull a,7,7.1,Informatory,
2024-05-09 - BOP - AI adopters forecast to pull a,6,6.2,Informatory,
2024-05-10 - PRS - Student deep nudes circulating,4,4.3,Quasi-scientific,
2024-05-10 - PRS - Student deep nudes circulating,1,1.2,Quasi-scientific,"Doesn't explain that AI can produce toxic content in relation to the data it was trained on, so doesn't build an understanding of how AI generates toxic content other than ""a tool exists that can do this."""
2024-05-10 - RDP - Apple crushed by negative feed,6,6.3,Quasi-scientific,"Graves' quote is a strong explanation of the concerns about creativity, here. "
2024-05-10 - RDP - Apple crushed by negative feed,6,6.2,Informatory,"References job loss, but doesn't describe it in much detail"
2024-05-12 - RNZ - Police not looking to alter th,1,1,Informatory,"Reference to ""fairness"" seems relevant to this Domain."
2024-05-12 - RNZ - Police not looking to alter th,2,2.2,Informatory,
2024-05-12 - RNZ - Police not looking to alter th,6,6.5,Informatory,
2024-05-12 - RNZ - Police not looking to alter th,7,7.3,Informatory,
"2024-05-15 - RNZ - 5000 crimes at New World, Pak",7,7.3,Informatory,
2024-05-15 - RNZ - Risk Maori and Pasifika will f,1,1,Elucidating,"States that AI can disriminate against people of colour when police use these tools, but doesn't explain how this occurs. Later in the article, it does give reference to false positives, but doesn't actually clearly assign this to the AI. In this case, it says that there's a risk non-Māori police officers could fail to identify Tā moko and Māori patterns, and then says ""I suspect we could see a number of false positives."" If this was clearly linked to AI in context, this would be an informatory reference to Risk 1.3. However, because it's not clear that they're referring to AI in context, I'm marking this as informatory reference to Risk 1 with no subdomain. "
2024-05-15 - RNZ - Risk Maori and Pasifika will f,8,8.3,Quasi-scientific,Explains how additional use of biometric identification systems could lead to increased data collection
2024-05-15 - RNZ - Risk Maori and Pasifika will f,2,2,Informatory,
2024-05-15 - RNZ - Risk Maori and Pasifika will f,5,5.1,Informatory,"Describes an instance of automation bias, but doesn't actually refer to it as such, and doesn't define or explain the way that staff members could rely on AI without applying their own critical thinking, "
2024-05-15 - RNZ - Risk Maori and Pasifika will f,8,8.1,Informatory,
2024-05-15 - RNZ - Risk Maori and Pasifika will f,6,6.5,Informatory,
2024-05-16 - PRS - Hunt for deep nude distributor,4,4.3,Quasi-scientific,Explains that someone has used AI to create images that are harmful. 
2024-05-16 - PRS - Hunt for deep nude distributor,4,4,Informatory,"References the wider problem of misuse, in a way that's clearly relevant beyond the present context of deepfakes. "
2024-05-16 - STF - Tova podcast- I would never gi,4,4.1,Quasi-scientific,"Explains the risk of Chinese person who has spoken out against China being surveilled on the platform, and also explains how peple may use apps to collect information, including examples of what info might be collected. "
2024-05-16 - STF - Tova podcast- I would never gi,1,1.2,Quasi-scientific,"Gives examples of toxic content (eating disorders and mental health), and explains that the recommender system shares these with young people because it's adjusting based on what young people have spent time viewing, re-watching and what they have stopped watching. Taken together, this article has enough information for a reader to build an understanding of how AI recommender algorithms learn to serve up toxic content to users. "
2024-05-16 - STF - Tova podcast- I would never gi,3,3.2,Quasi-scientific,"Explains the hyper-personalised filters. Doesn't explain a distorted reality, but implies it through the following sentences, so I'll count it as an explanation. ""They were being shown this content every 39 seconds. ""So very quickly, it sends kids to these videos that romanticise and encourage self-harm and depressive thinking, and there's also just some really depraved content on there,"" says Marsh."""
2024-05-16 - STF - Tova podcast- I would never gi,5,5.2,Quasi-scientific,
2024-05-16 - STF - Tova podcast- I would never gi,6,6.1,Quasi-scientific,"Clear explanation across the two quotes: Some platforms may exclude some people., resulting in some people being unable to engage in democratic participation in NZ society, and here's an example of what that could look like for TikTok/Chinese dissidents. "
2024-05-16 - STF - Tova podcast- I would never gi,8,8.3,Quasi-scientific,"Explains how the app queries user location, and consequences of this on user safety. "
2024-05-17 - TMH - Sony Music warns AI firms over,6,6.3,Quasi-scientific,
2024-05-17 - TMH - Sony Music warns AI firms over,6,6.5,Informatory,"Doesn't actually articulate any governance challenges, just references that it has been hard (and doesn't really explain why, other than ""trying to tread a line.""_"
2024-05-19 - RNZ - Police use images from number,4,4.1,Informatory,"Says it was misuse, but doesn't say how this kind of application or AI can be misused. "
2024-05-22 - RNZ - AI expected to supercharge pro,4,4.2,Informatory,Doesn't explain how AI being the dominant form of intelligence on earth leads to cybersecurity risks. 
2024-05-22 - RNZ - AI expected to supercharge pro,6,6.2,Informatory,
2024-05-22 - RNZ - AI expected to supercharge pro,6,6.3,Informatory,
2024-05-27 - RNZ - New Zealand continues to call,7,7.2,Quasi-scientific,
2024-05-27 - RNZ - New Zealand continues to call,4,4.2,Informatory,"This article is approximately saying: AI brings benefits, but this must be balanced with human accountability - this is inferring that AI may make weapons more dangerous, but not actually saying how. "
2024-05-27 - RNZ - New Zealand continues to call,6,6.5,Informatory,"Talks about what the oversight should contain, but doesn't actually explain why it's difficult to govern AI systems. "
2024-05-27 - RNZ - New Zealand continues to call,7,7.3,Informatory,
2024-05-28 - WHC - AI and EVs add to soaring elec,6,6,Quasi-scientific,Explains how higher demand for electricity due to AI use could lead to higher prices for consumers. 
2024-05-28 - WHC - AI and EVs add to soaring elec,6,6.6,Quasi-scientific,Detailed explanation when it discusses the need for meeting electricity demand and the move away from fossil fuels. 
2024-05-28 - WHC - AI and EVs add to soaring elec,8,8.1,Informatory,"Doesn't explain or state why having data in NZ is good, or what data sovereignty is. "
2024-06-01 - STF - Is AI an existential threat to,7,7.1,Quasi-scientific,
2024-06-01 - STF - Is AI an existential threat to,0,0,Informatory,
2024-06-05 - RNZ - Software for new supermarket b,4,4.1,Informatory,Doesn't state why or how police could misuse the ANPR
2024-06-05 - RNZ - Software for new supermarket b,6,6.5,Informatory,"Gives an example of having policy for some uses but not others, and identifies this with a negative tone (implying that bodycams won't be effectively governed). Doesn't explain or draw attention to AI systems being difficult to keep up with, policy-wise. "
2024-06-09 - NZH - Dirty data is emerging as an A,8,8.1,Elucidating,
2024-06-09 - NZH - Dirty data is emerging as an A,7,7.3,Elucidating,"Explains the garbage in and garbage out principle in enough depth to understand that AI can be incapable at tasks, and why. Doesn't explain any specific examples of what data AI may fail on, so this feels borderline explanatory. "
2024-06-09 - NZH - Dirty data is emerging as an A,2,2.1,Quasi-scientific,"""When you start pointing artificial intelligence at your data, if it doesn't know what information should be served up to who, you start to have risk of privacy issues."" This describes AI potentially obtaining or leaking PPI. Good explanation of why AI might cause the leaking of personal information"
2024-06-09 - NZH - Dirty data is emerging as an A,2,2.2,Informatory,
2024-06-09 - NZH - Dirty data is emerging as an A,6,6.5,Informatory,
2024-06-10 - RNZ - Dirty data poses risk to quali,7,7.3,Elucidating,"Explains the garbage in and garbage out principle in enough depth to understand that AI can be incapable at tasks, and why. Doesn't explain any specific examples of what data AI may fail on, so this feels borderline explanatory. "
2024-06-10 - RNZ - Dirty data poses risk to quali,6,6.5,Informatory,
2024-06-11 - SCP - Fact Checking Artificial Intel,3,3.1,Elucidating,"Doesn't explain how misinformation arises, just gives examples of AI that can and can't give references. "
2024-06-11 - SCP - Fact Checking Artificial Intel,7,7.4,Elucidating,"Definition of white box and black box AI. Also points at the problem that we can't see why an AI tool has output the output that it did, but doesn't explain what causes this challenge. "
2024-06-11 - SCP - Fact Checking Artificial Intel,5,5.1,Quasi-scientific,This article has enough explanation to effectively define overreliance through the assertion that we must switch on our brains and be critical thinkers. 
2024-06-11 - SCP - Fact Checking Artificial Intel,4,4.3,Informatory,
2024-06-12 - NZH - AI is ushering in a new era,0,0,Informatory,
2024-06-12 - NZH - AI is ushering in a new era,6,6.5,Informatory,"A bit of a difficult one to class. Does seem to reference the upcoming legislation, and the need for that because of the risks that AI can create or exacerbate. But also implies it won't be hard to govern without describing any of the ways in which it may need to be governed. "
2024-06-12 - NZH - AI is ushering in a new era,7,7.3,Informatory,
2024-06-13 - RNZ - Youre going to have a flying t,7,7.3,Informatory,"References the idea that the trail may not have been effective, but doesn't disclose the nature of how AI may have failed or not been capable at the task. Also references the need for human checking, but doesn't explain why the AI may need checking. Therefore, informatory only. "
2024-06-16 - NSM - Using AI could erode childrens,3,3.1,Elucidating,"Doesn't explain how/why AI can get thigns wrong, but just mentions that it can happen"
2024-06-16 - NSM - Using AI could erode childrens,4,4.3,Quasi-scientific,
2024-06-16 - NSM - Using AI could erode childrens,5,5.2,Quasi-scientific,
2024-06-16 - NSM - Using AI could erode childrens,0,0,Informatory,
2024-06-16 - NZH - Netsafes new AI tool hitting b,4,4.3,Quasi-scientific,
"2024-06-17 - RDP - How much are councils, govt de",1,1.1,Elucidating,"""automated decisions based on […] biased processing"" seems to relate to Risk 1.1 (the AI learning a biased pattern from the dataset) rather than 1.3. "
"2024-06-17 - RDP - How much are councils, govt de",6,6.5,Elucidating,States that it can be difficult for AI legislation to keep up with AI to effectively regulate it. Doesn't explain this in depth in relation to e.g. the pace of the technology. 
"2024-06-17 - RDP - How much are councils, govt de",2,2.1,Quasi-scientific,"Borderline, but I'll call this explanatory as it mentions that AI can leak personal information in its outputs (even if it doesn't explain how the AI accesses this information, it does give a clear picture of Risk 2.1). "
"2024-06-17 - RDP - How much are councils, govt de",6,6.2,Quasi-scientific,Explains that organizations that don't use AI may be at a disadvantage. 
"2024-06-17 - RDP - How much are councils, govt de",0,0,Informatory,
"2024-06-17 - RDP - How much are councils, govt de",1,1,Informatory,"Later references to discrimination may refer to more general uses of AI, so it's unclear exactly which type of risk (1.1 or 1.3) is being referred to here. "
"2024-06-17 - RDP - How much are councils, govt de",2,2,Informatory,"A lot of these references do not clarify what kind of privacy/security risk they are concerned about. They do not explain how AI could give rise to these risks, either, apart from one case (privacy commissioner). Because these are different people talking, I have coded many of these examples as ""domain 2, no subdomain"" but will code any more specific references to subdomains (from other people) via their subdomain. "
"2024-06-17 - RDP - How much are councils, govt de",5,5,Informatory,"A vague reference to the challenge of relying on automatic decision-making, but no clear consequences are explained or defined. "
"2024-06-17 - RDP - How much are councils, govt de",4,4.3,Informatory,
"2024-06-17 - RDP - How much are councils, govt de",7,7.4,Informatory,
2024-06-18 - MWS - Online checks over-zealous,4,4.3,Elucidating,"Gives enough information to know what the issue is, if you didn't previously know what 'academic frud using AI' was: ""Byrnes said the use of generative AI-created content by students without attribution was a concern for universities worldwide."""
2024-06-18 - MWS - Online checks over-zealous,7,7.3,Informatory,"There's an implication that the tool may not be effective, but they're stating that the tool is effective/accurate. This is an informatory reference, as it already assumes that you may understand that the tool raises false positives. "
2024-06-20 - RNZ - New AI video tech- It brings a,4,4.1,Quasi-scientific,Relatively clear example of explanatory content for risk of political disinformation via deepfakes. 
2024-06-20 - RNZ - New AI video tech- It brings a,3,3.2,Quasi-scientific,
2024-06-20 - RNZ - Reality check- Headless flamin,8,8.4,Informatory,"Doesn't explain how AI leads to dehumanisation; it references the increasingly digital world, but doesn't really define any harm or risk from doing things digitally; it's assumed that the reader already knows why human disconnection is bad. "
2024-06-25 - RNZ - 99 percent of terrorist materi,3,3.2,Informatory,"This article references misinformation and algorithmic interactions with misinformation, but doesn't actually describe or define the potential loss of consensus on reality, or distortion of reality through algorithmic serving of misinformation. Therefore, it's informatory. First section of description describes distortion of reality through misinformation (Risk 3.2) in that the algorithm is serving up and prompting false content. The rest of the section suggests that it isn't a problem, as they have a mechanism to help users recognise misinformation. However, the final paragraph also notes that people are concerned that algorithmic interaction with misinformation will become harder to track and study when Crowd Tangle is no longer operational. Therefore, this is a risk affirmation and negation. "
2024-06-27 - PST - AI and recruitment  dont fear,7,7.3,Elucidating,"Demonstrates that AI tools may be incapable at the task they were descigned to do, but doesn't point at why. "
2024-06-29 - STF - AI causes major rethink as uni,6,6.3,Elucidating,
2024-06-29 - STF - AI causes major rethink as uni,8,8.4,Elucidating,"Explains the risk - that AI is a commodification/exploitation of the human spirit. Doesn’t really say how this is bad, other than tonal reaction. "
2024-06-29 - STF - AI causes major rethink as uni,7,7.3,Elucidating,"Explains that Ai tools can be so sensitive that they turn up false positives; mentions that they're unable to deal with specific types of challenges. However, doesn't really explain why (quality of training data, or used on content that wasn't in the training data). "
2024-06-29 - STF - AI causes major rethink as uni,3,3.1,Quasi-scientific,
2024-06-29 - STF - AI causes major rethink as uni,4,4.3,Quasi-scientific,
2024-06-29 - STF - Avatars game addresses childho,0,0,Informatory,"Safety concerns = unclear exactly what kind of concerns (even though psychologists mentioned, it's unclear what kind of psychological harm they're attempting to protect from). "
"2024-07-03 - RNZ - AI for school tutoring, instan",4,4.1,Elucidating,"States the issue, but doesn't give a detailed explanation for how people use the technology in each case (e.g. how can deepfakes actually be used to influence opinion? See the article ""New AI video tech- It brings a..."" for an example of explanatory depth of deepfakes for political influence. "
"2024-07-03 - RNZ - AI for school tutoring, instan",4,4.3,Elucidating,
"2024-07-03 - RNZ - AI for school tutoring, instan",7,7.1,Elucidating,
"2024-07-03 - RNZ - AI for school tutoring, instan",7,7.2,Elucidating,
"2024-07-03 - RNZ - AI for school tutoring, instan",6,6.5,Quasi-scientific,"Explains that AI is developing fast enough to cause concern, and that NZ has no specific AI regulation. In context of the EU AI Act descriptions, this seems like enough information for a person to understand some reasons why AI is difficult to regulate. "
"2024-07-03 - RNZ - AI for school tutoring, instan",6,6.4,Quasi-scientific,
"2024-07-03 - RNZ - AI for school tutoring, instan",0,0,Informatory,"While it does list a range of applications that are high risk, it doesn't give a reason and therefore it is impossible to categorize this as a specific domain in the taxonomy. "
"2024-07-03 - RNZ - AI for school tutoring, instan",3,3,Informatory,
"2024-07-03 - RNZ - AI for school tutoring, instan",7,7,Informatory,
"2024-07-03 - RNZ - AI for school tutoring, instan",7,7.3,Informatory,
"2024-07-03 - RNZ - AI for school tutoring, instan",7,7.4,Informatory,
2024-07-03 - RNZ - Experts cautiously optimistic,6,6.5,Elucidating,
2024-07-03 - RNZ - Experts cautiously optimistic,7,7.3,Elucidating,
2024-07-03 - RNZ - Experts cautiously optimistic,2,2.1,Quasi-scientific,
2024-07-03 - RNZ - Experts cautiously optimistic,3,3.1,Quasi-scientific,
2024-07-03 - RNZ - Experts cautiously optimistic,5,5.2,Quasi-scientific,
2024-07-03 - RNZ - Experts cautiously optimistic,7,7.4,Informatory,
2024-07-04 - RNZ - Concerns raised as GPs embrace,6,6.5,Quasi-scientific,
2024-07-04 - RNZ - Concerns raised as GPs embrace,2,2.1,Informatory,
2024-07-04 - RNZ - Concerns raised as GPs embrace,8,8.1,Informatory,
2024-07-04 - RNZ - Concerns raised as GPs embrace,7,7.3,Informatory,
"2024-07-08 - SPN - Fake news, AI slop and little",6,6.1,Elucidating,"Describes AI company having power because of their current power (scale), but doesn't explain the cycle of how AI systems could be used to reinforce that power. "
"2024-07-08 - SPN - Fake news, AI slop and little",8,8.3,Elucidating,
"2024-07-08 - SPN - Fake news, AI slop and little",4,4.3,Quasi-scientific,
"2024-07-08 - SPN - Fake news, AI slop and little",1,1.2,Quasi-scientific,"Gives many examples of alarming content, including AI-generated content. Explains that this is part of a move to leverage vast amounts of AI-generated imagery to drive engagement. In context, the reader can build an understanding of why AI recommender algorithms may serve toxic content (explanatory reference to Risk 1.2). It doesn't give an explanation of why AI tools can generate toxic content, however, so if the algorithmic recommendation system wasn't mentioned, this would only be an informatory reference to Risk 1.2"
"2024-07-08 - SPN - Fake news, AI slop and little",6,6.3,Quasi-scientific,
"2024-07-08 - SPN - Fake news, AI slop and little",8,8.4,Quasi-scientific,"Explains how Facebook's newsfeed has resulted in a distancing from other humans in pursuit of profit, and degradation of the community connection. "
"2024-07-08 - SPN - Fake news, AI slop and little",0,0,Informatory,It's unclear what kinds of risks generative AI and vertival video pose for young people and grandparents. 
"2024-07-08 - SPN - Fake news, AI slop and little",3,3.2,Informatory,"References the increased slop in peoples' newsfeeds, and clearly denotes this as a problem, but doesn't explain why this might cause a problem, and what probloem it may cause other than their suggestion that Facebook is on the wrong track for community building, people power and closeness. Doesn't even mention the potential loss of trust in information, so this is just a reference without definition or explanatory content. "
"2024-07-08 - SPN - Fake news, AI slop and little",6,6.2,Informatory,
"2024-07-08 - SPN - Fake news, AI slop and little",6,6.5,Informatory,"References a consequence of AI moving too fast to be regulated effectively, but doesn't explicitly draw attention to this. Just assumes that the reader understands that it's difficult to regulate because it has moved too fast. "
2024-07-16 - RNZ - AI could soon attend work meet,2,2.2,Elucidating,"Informatory reference: ""The key issue for me - from a privacy perspective - is that people are aware of what's being done with their personal information, where it's being stored, whether it's being stored securely, and whether it's being protected from inappropriate access or use."""
2024-07-16 - RNZ - AI could soon attend work meet,6,6.5,Elucidating,"AI moves fast, firms need to do assessments; our current legislation doesn't effectively regulate privacy act breaches for the scale of harm that could occur. "
2024-07-16 - RNZ - AI could soon attend work meet,8,8.4,Elucidating,
2024-07-16 - RNZ - AI could soon attend work meet,2,2.1,Quasi-scientific,"Spends most of the article discussing risks arising under Risk 2.1, so the initial sentence has been taken as a reference to that. Explanatory content: ""You have to provide them with the audio, and you might not have control over what happens to that audio afterwards. Once they've transcribed it, they're going to keep a record of that text, you might not have much control over what happens to that text. It's all buried in the terms and conditions."""
2024-07-16 - RNZ - AI could soon attend work meet,5,5.2,Informatory,
2024-07-16 - RNZ - AI could soon attend work meet,7,7.3,Informatory,
2024-07-16 - RNZ - Government checks for bias in,1,1.3,Quasi-scientific,"Explains rate of incidence of this risk, and explains that it was due to models trained on existing imbalanced datasets, and how incidence of the risk can be reduced by generating synthetic data."
2024-07-16 - RNZ - Government checks for bias in,7,7.3,Quasi-scientific,Links additional training data to improvement in AI system
2024-07-16 - RNZ - Government checks for bias in,4,4.1,Informatory,
2024-07-16 - RNZ - Government checks for bias in,4,4.3,Informatory,
"2024-07-18 - SPN - The more you know about AI, th",6,6.4,Elucidating,"Doesn't actually explain the risk of cutting corners, just references the arms race and states that text companies need the next big thing. Does give some reason for the race (financial) so I'll count this as a definition. "
"2024-07-18 - SPN - The more you know about AI, th",7,7.3,Elucidating,
"2024-07-18 - SPN - The more you know about AI, th",0,0,Informatory,
"2024-07-18 - SPN - The more you know about AI, th",7,7,Informatory,
"2024-07-18 - SPN - The more you know about AI, th",5,5.1,Informatory,Anthropomorphizing= referenced but not explained as to why this might be bad. 
"2024-07-18 - SPN - The more you know about AI, th",6,6.3,Informatory,
"2024-07-18 - SPN - The more you know about AI, th",6,6.5,Informatory,
2024-07-18 - TST - Report warns of barrier to rea,6,6.3,Elucidating,
2024-07-18 - TST - Report warns of barrier to rea,6,6.5,Elucidating,
2024-07-18 - TST - Report warns of barrier to rea,6,6.2,Quasi-scientific,
2024-07-18 - TST - Report warns of barrier to rea,8,8.4,Informatory,
2024-07-25 - MWS - Massey University working on g,0,0,Informatory,
2024-07-25 - MWS - Massey University working on g,2,2,Informatory,
2024-07-25 - MWS - Massey University working on g,4,4.3,Informatory,"Reference to academic misconduct clearly in ""research publishing and ethical research conduct."" "
